Synset,Level,Encoding
vertebrate,0,0
invertebrate,0,1
bird,1,0
fish,1,1
herpetologic,1,2
dog,1,3
rodenticidal,1,4
large_omnivore_herbivore,1,5
ursine,1,6
primatenic,1,7
other_mammal,1,8
arthropod,1,9
molluscan,1,10
aquatic_bird,2,0
bird_of_prey,2,1
coraciiform_bird,2,2
gallinaceous_bird,2,3
piciform_bird,2,4
parrot,2,5
passerine,2,6
bony_fish,2,7
cartilaginous_fish,2,8
crocodilian_reptile,2,9
frog,2,10
salamander,2,11
saurian,2,12
snake,2,13
turtle,2,14
fox,2,15
wild_dog,2,16
wolf,2,17
corgi,2,18
poodle,2,19
spitz,2,20
toy_dog,2,21
terrier,2,22
sporting_dog,2,23
hound,2,24
working_dog,2,25
musteline_mammal,2,26
rodent,2,27
viverrine,2,28
pachyderm,2,29
ungulate,2,30
bear,2,31
marsupial,2,32
procyonid,2,33
edentate,2,34
primate,2,35
aquatic_mammal,2,36
feline,2,37
lagomorph,2,38
monotreme,2,39
arachnid,2,40
crustacean,2,41
insect,2,42
coelenterate,2,43
echinoderm,2,44
mollusk,2,45
worm,2,46
drake,3,0
red-breasted_merganser,3,1
goose,3,2
black_swan,3,3
white_stork,3,4
black_stork,3,5
spoonbill,3,6
flamingo,3,7
little_blue_heron,3,8
american_egret,3,9
bittern,3,10
crane,3,11
limpkin,3,12
european_gallinule,3,13
american_coot,3,14
bustard,3,15
ruddy_turnstone,3,16
red-backed_sandpiper,3,17
redshank,3,18
dowitcher,3,19
oystercatcher,3,20
pelican,3,21
king_penguin,3,22
albatross,3,23
kite,3,24
bald_eagle,3,25
vulture,3,26
great_grey_owl,3,27
bee_eater,3,28
hornbill,3,29
black_grouse,3,30
ptarmigan,3,31
ruffed_grouse,3,32
prairie_chicken,3,33
peacock,3,34
quail,3,35
partridge,3,36
jacamar,3,37
toucan,3,38
african_grey,3,39
macaw,3,40
sulphur-crested_cockatoo,3,41
lorikeet,3,42
brambling,3,43
goldfinch,3,44
house_finch,3,45
junco,3,46
indigo_bunting,3,47
robin,3,48
bulbul,3,49
jay,3,50
magpie,3,51
chickadee,3,52
water_ouzel,3,53
tench,3,54
goldfish,3,55
eel,3,56
coho,3,57
rock_beauty,3,58
anemone_fish,3,59
sturgeon,3,60
gar,3,61
lionfish,3,62
puffer,3,63
great_white_shark,3,64
tiger_shark,3,65
hammerhead,3,66
electric_ray,3,67
stingray,3,68
african_crocodile,3,69
american_alligator,3,70
bullfrog,3,71
tree_frog,3,72
tailed_frog,3,73
european_fire_salamander,3,74
common_newt,3,75
eft,3,76
spotted_salamander,3,77
axolotl,3,78
banded_gecko,3,79
common_iguana,3,80
american_chameleon,3,81
whiptail,3,82
agama,3,83
frilled_lizard,3,84
alligator_lizard,3,85
gila_monster,3,86
green_lizard,3,87
african_chameleon,3,88
komodo_dragon,3,89
thunder_snake,3,90
ringneck_snake,3,91
hognose_snake,3,92
green_snake,3,93
king_snake,3,94
garter_snake,3,95
water_snake,3,96
vine_snake,3,97
night_snake,3,98
boa_constrictor,3,99
rock_python,3,100
indian_cobra,3,101
green_mamba,3,102
sea_snake,3,103
horned_viper,3,104
diamondback,3,105
sidewinder,3,106
loggerhead,3,107
leatherback_turtle,3,108
mud_turtle,3,109
terrapin,3,110
box_turtle,3,111
red_fox,3,112
kit_fox,3,113
arctic_fox,3,114
grey_fox,3,115
dingo,3,116
dhole,3,117
african_hunting_dog,3,118
timber_wolf,3,119
white_wolf,3,120
red_wolf,3,121
coyote,3,122
pembroke,3,123
cardigan,3,124
toy_poodle,3,125
miniature_poodle,3,126
standard_poodle,3,127
samoyed,3,128
pomeranian,3,129
chow,3,130
keeshond,3,131
chihuahua,3,132
japanese_spaniel,3,133
maltese_dog,3,134
pekinese,3,135
shih-tzu,3,136
blenheim_spaniel,3,137
papillon,3,138
toy_terrier,3,139
staffordshire_bullterrier,3,140
american_staffordshire_terrier,3,141
bedlington_terrier,3,142
border_terrier,3,143
kerry_blue_terrier,3,144
irish_terrier,3,145
norfolk_terrier,3,146
norwich_terrier,3,147
yorkshire_terrier,3,148
wire-haired_fox_terrier,3,149
lakeland_terrier,3,150
sealyham_terrier,3,151
airedale,3,152
cairn,3,153
australian_terrier,3,154
dandie_dinmont,3,155
boston_bull,3,156
miniature_schnauzer,3,157
giant_schnauzer,3,158
standard_schnauzer,3,159
scotch_terrier,3,160
tibetan_terrier,3,161
silky_terrier,3,162
soft-coated_wheaten_terrier,3,163
west_highland_white_terrier,3,164
lhasa,3,165
flat-coated_retriever,3,166
curly-coated_retriever,3,167
golden_retriever,3,168
labrador_retriever,3,169
chesapeake_bay_retriever,3,170
german_short-haired_pointer,3,171
vizsla,3,172
english_setter,3,173
irish_setter,3,174
gordon_setter,3,175
brittany_spaniel,3,176
clumber,3,177
english_springer,3,178
welsh_springer_spaniel,3,179
cocker_spaniel,3,180
sussex_spaniel,3,181
irish_water_spaniel,3,182
afghan_hound,3,183
basset,3,184
beagle,3,185
bloodhound,3,186
bluetick,3,187
black-and-tan_coonhound,3,188
walker_hound,3,189
english_foxhound,3,190
redbone,3,191
borzoi,3,192
irish_wolfhound,3,193
italian_greyhound,3,194
whippet,3,195
ibizan_hound,3,196
norwegian_elkhound,3,197
otterhound,3,198
saluki,3,199
scottish_deerhound,3,200
weimaraner,3,201
kuvasz,3,202
schipperke,3,203
groenendael,3,204
malinois,3,205
briard,3,206
kelpie,3,207
komondor,3,208
old_english_sheepdog,3,209
shetland_sheepdog,3,210
collie,3,211
border_collie,3,212
bouvier_des_flandres,3,213
rottweiler,3,214
german_shepherd,3,215
doberman,3,216
miniature_pinscher,3,217
greater_swiss_mountain_dog,3,218
bernese_mountain_dog,3,219
appenzeller,3,220
entlebucher,3,221
boxer,3,222
bull_mastiff,3,223
tibetan_mastiff,3,224
french_bulldog,3,225
great_dane,3,226
saint_bernard,3,227
eskimo_dog,3,228
malamute,3,229
siberian_husky,3,230
affenpinscher,3,231
weasel,3,232
mink,3,233
polecat,3,234
black-footed_ferret,3,235
otter,3,236
skunk,3,237
badger,3,238
hamster,3,239
porcupine,3,240
fox_squirrel,3,241
marmot,3,242
beaver,3,243
guinea_pig,3,244
mongoose,3,245
meerkat,3,246
indian_elephant,3,247
african_elephant,3,248
sorrel,3,249
zebra,3,250
hog,3,251
wild_boar,3,252
warthog,3,253
hippopotamus,3,254
ox,3,255
water_buffalo,3,256
bison,3,257
ram,3,258
bighorn,3,259
ibex,3,260
hartebeest,3,261
impala,3,262
gazelle,3,263
arabian_camel,3,264
llama,3,265
brown_bear,3,266
american_black_bear,3,267
ice_bear,3,268
sloth_bear,3,269
wallaby,3,270
koala,3,271
wombat,3,272
lesser_panda,3,273
giant_panda,3,274
armadillo,3,275
three-toed_sloth,3,276
orangutan,3,277
gorilla,3,278
chimpanzee,3,279
gibbon,3,280
siamang,3,281
guenon,3,282
patas,3,283
baboon,3,284
macaque,3,285
langur,3,286
colobus,3,287
proboscis_monkey,3,288
marmoset,3,289
capuchin,3,290
howler_monkey,3,291
titi,3,292
spider_monkey,3,293
squirrel_monkey,3,294
madagascar_cat,3,295
indri,3,296
grey_whale,3,297
killer_whale,3,298
dugong,3,299
sea_lion,3,300
tabby,3,301
tiger_cat,3,302
persian_cat,3,303
siamese_cat,3,304
egyptian_cat,3,305
cougar,3,306
lynx,3,307
leopard,3,308
snow_leopard,3,309
jaguar,3,310
lion,3,311
tiger,3,312
cheetah,3,313
wood_rabbit,3,314
hare,3,315
angora,3,316
echidna,3,317
platypus,3,318
harvestman,3,319
scorpion,3,320
black_and_gold_garden_spider,3,321
barn_spider,3,322
garden_spider,3,323
black_widow,3,324
tarantula,3,325
wolf_spider,3,326
tick,3,327
dungeness_crab,3,328
rock_crab,3,329
fiddler_crab,3,330
king_crab,3,331
american_lobster,3,332
spiny_lobster,3,333
crayfish,3,334
hermit_crab,3,335
isopod,3,336
tiger_beetle,3,337
ladybug,3,338
ground_beetle,3,339
long-horned_beetle,3,340
leaf_beetle,3,341
dung_beetle,3,342
rhinoceros_beetle,3,343
weevil,3,344
fly,3,345
bee,3,346
ant,3,347
grasshopper,3,348
cricket,3,349
walking_stick,3,350
cockroach,3,351
mantis,3,352
cicada,3,353
leafhopper,3,354
lacewing,3,355
dragonfly,3,356
damselfly,3,357
admiral,3,358
ringlet,3,359
monarch,3,360
cabbage_butterfly,3,361
sulphur_butterfly,3,362
lycaenid,3,363
jellyfish,3,364
sea_anemone,3,365
brain_coral,3,366
starfish,3,367
sea_urchin,3,368
sea_cucumber,3,369
conch,3,370
snail,3,371
slug,3,372
sea_slug,3,373
chiton,3,374
chambered_nautilus,3,375
flatworm,3,376
nematode,3,377
